product_code,brand,ad_name,family,colorway,tier,is_primary_listing,restockable,notes
14989785011,askalabel,"Danantya by Aska Label - Tunik wanita panjang warna biru dusty, abu gelap, putih lengan panjang full kancing busui friendly [7]",danantya,,,,,
2813189365,askalabel,"Wiyana by Aska Label - Basic Blouse Wanita Muslim Full Kancing warna Lilac, Navy, Taupe, Light Moss, Deep Cranberry [6]",wiyana,,,,,
26421077348,askalabel,Raka by Aska Label - Gamis wanita pleats busui friendly dress wanita dengan details kerut tangan,raka,,,,,
20789974542,askalabel,Arundaya by Aska Label - Dress wanita plisket gamis wanita panjang pleats kombinasi lengan panjang [8],arundaya,,,,,
24783256968,askalabel,Nararya by Aska Label - Kaos wanita atasan kaos wanita turtle neck lengan panjang [3],nararya,,,,,
762914930,askalabel,"Naira by Aska Label - Tunik full kancing busui friendly warna Putih (Berfuring), Redbud, Taupe, Burgundy, Navy [9]",naira,,,,,
15873715477,askalabel,Ayunda by Aska Label - Gamis wanita basic polos dress wanita panjang A Line [6],ayunda,,,,,
3134204887,askalabel,"Tari by Aska Label - Tunik Rayon Kancing Lengan Panjang warna hitam, coksu, putih, biru navy, lilac, coklat, biru muda [6]",tari,,,,,
2162140071,askalabel,Gantari by Aska Label - Gamis Eid wanita dengan details lace dress wanita [2],gantari,,,,,
27676781471,askalabel,Asmara by Aska Label - Gamis wanita dress wanita dengan details drape busui friendly,asmara,,,,,
26979785942,askalabel,Danar by Aska Label - Gamis wanita dress wanita dengan details pleats,danar,,,,,
22586885399,askalabel,Nasha by Aska Label - Celana panjang wanita celana kantor wanita warna putih beige grey hitam [6],nasha,,,,,
51705590736,askalabel,Mahesvara by Aska Label - Atasan wanita bahan 100% katun dengan details tali,mahesvara,,,,,
54254065668,askalabel,Isvara by Aska Label - Atasan wanita 100% katun dengan details bordir scallop dan tekstur linen,isvara,,,,,
948110519,askalabel,"Aura by Aska Label - Gamis crepe lengan panjang, busui friendly, details drape warna Hitam, Offwhite, Taupe, Raspberry [5]",aura,,,,,
7242953015,askalabel,"Mayang Dress by Aska Label - Gamis plisket  busui friendly warna abu, navy, mauve [5]",mayang,,,,,
24190365120,askalabel,Raka by Aska Label - Gamis wanita pleats busui friendly dress wanita dengan details kerut tangan,raka,,,,,
6748741647,askalabel,"Kalinda by Aska Label - Atasan blouse wanita basic polos bahan crepe full kancing busui friendly wudhu friendly warna Taupe, Deep Cranberry, Mauve, Lilac, Black [6]",kalinda,,,,,
15697129543,askalabel,"Vikrama by Aska Label - Tunik plisket lengan panjang full kancing busui friendly warna pink mauve, ungu, hitam black [8]",vikrama,,,,,
29624896352,askalabel,"Chandana by Aska Label - Rok wanita rok maxi wanita dengan pinggang karet, kantong, dan resliting belakang",chandana,,,,,
40851887912,askalabel,Aera Inner by Aska Label - Inner Muslimah inner manset hijaber dengan bahan lembut dan nyaman,aera,,,,,
17016242749,askalabel,"Praya by Aska Label - Gamis dengan drape bagian depan samping warna ungu dusty, dusty pink, coklat, biru indigo [5]",praya,,,,,
